Versenyzői ID,Elmélet,El-1,El-2,NLP-1,NLP-2,NLP-3,NLP-4,CV-1,CV-2,CV-3,CV-4,Összpontszám
kovhed454,45,20,29,30,27,37,-,17,23,-,-,228
ungvin457,56,19,28,27,30,22,-,17,8,10,10,227
szibal596,51,20,29,30,27,10,-,20,25,9,-,221
vajada722,57,18,29,30,30,-,20,-,5,10,9,208
chrmir143,40,17,29,27,11,-,-,16,24,12,-,176
lehger776,47,19,29,21,30,-,14,16,-,-,-,176
molist772,50,17,27,19,24,0,23,0,0,6,9,175
nagdav326,43,13,28,30,-,-,26,-,23,8,-,171
labben983,28,7,26,28,20,-,8,15,25,-,-,157
graben500,49,0,21,23,28,30,-,5,-,-,-,156
turtam886,52,20,22,28,-,-,33,-,-,-,-,155
szaand333,49,7,14,28,14,37,-,5,-,-,-,154
fulmil993,40,20,27,13,0,10,-,11,24,7,-,152
nemmar366,58,18,27,27,-,-,-,20,-,-,-,150
kerzso702,42,7,30,30,-,-,-,17,12,-,-,138
misger762,47,-,20,30,24,-,15,-,-,-,-,136
petlil748,46,20,12,18,1,-,9,-,19,-,0,125
pupbar223,34,12,13,12,3,6,-,7,23,5,2,117
tarlev426,34,4,22,18,23,10,-,-,6,-,-,117
hordor445,34,17,29,21,15,-,-,-,-,-,-,116
podada149,39,5,26,19,4,17,-,3,-,-,-,113
gyaada654,52,6,23,-,-,14,4,11,-,-,-,110
sarbal874,31,10,23,18,-,-,-,20,5,-,-,107
szajoz429,20,11,28,16,8,0,19,4,-,-,-,106
tradav920,31,4,24,14,30,-,-,-,-,-,-,103
boddav457,45,14,-,-,-,-,-,18,24,-,-,101
ancad378,42,-,27,30,-,-,-,-,-,-,-,99
kistek977,21,6,20,29,0,0,-,15,2,5,-,98
batbal862,47,10,19,14,6,-,-,0,-,-,-,96
teptun135,13,15,15,18,8,-,-,7,19,-,-,95
karzso858,29,0,20,20,22,0,0,0,0,0,0,91
tedbal624,18,6,27,11,12,-,-,16,-,-,-,90
kadzso460,28,20,16,10,9,0,-,5,-,-,-,88
poclev824,41,2,17,9,11,3,0,0,0,0,0,83
mesoli379,39,-,23,17,-,-,-,-,-,-,-,79
rogkri939,17,12,22,-,-,-,-,-,19,8,-,78
kasmat454,26,7,19,8,-,-,-,13,-,-,-,73
werlev608,25,6,20,-,4,-,-,2,-,-,-,57
szezso577,18,14,-,-,4,-,-,4,-,-,-,40
patako227,38,0,-,-,-,-,-,-,-,-,-,38
papliv818,24,0,0,-,-,-,-,-,-,-,-,24
